"locality_id","locality","n"
"L1","Sheep River PP--Windy Point",46
"L10000087","Brundage Reservoir",2
"L10000260","Bunker Museum",4
"L1000028","Brewster Co.--TX118 Picnic Area 2 (Elephant Mountain)",20
"L10000447","Hacienda Puca Cruz",124
"L1000060","Cerro Blanco (Santiago)",21
"L10000686","Eres--La Pelleya",4
"L10000991","Ohlone Park",78
"L10001043","Mississippi River Lock & Dam 18 (Iowa)",4
"L1000120","Round Mountain area (SBE Co.)",7
"L10001697","Berzocana--Pueblo",1
"L10001794","Thompsons Rd at Murrell Creek Rd, Ardlethan",1
"L10001815","Saviours Road, Grong Grong",1
"L10001937","Willowvale Rest Area, Sturt Highway",2
"L10002316","Large de l'isthme",9
"L1000285","Red Willow Reservoir",71
"L10002858","Assi Ganga--Kuflon",2
"L10002942","Toro--Puente Busiano-camino Chafaril",1
"L1000300","Gum Swamp Road",74
"L10003006","Parque Estadual das Araucárias",5
"L10003105","Lovers Leap State Park",2
"L1000335","Hegdal Wildlife Area",3
"L1000372","Juan de Fuca Provincial Park",28
"L10003888","Los Alcornocales PNat--Charco de los Hurones",1
"L1000419","Ute Lake SP--Mine Canyon",19
"L10004271","Sarakki Kere",6
"L1000430","Heritage Park, Westerville",11
"L10004739","Ballintoy Harbour",2
"L1000491","Meanook National Wildlife Area",8
"L10005100","Gruta Chocantes",1
"L10005183","Upper La Paz",7
"L1000519","Auckland Island--SW Cape Albatross Colony",7
"L1000530","Campbell Island --North Cape",6
"L1000563","El Pangal",2
"L10005632","Manantial La Tovara",1
"L10005949","Limmen National Park--Mountain Creek Campsite",4
"L10005969","Izembek NWR--Second Bridge",1
"L1000605","Bella Bella--Troupe Narrows",5
"L1000609","Bella Bella--Clatse Creek",1
"L10006347","Five Tree Hill Country Park",6
"L10006704","Dale of Walls",4
"L10006713","Analândia--Ponte Amarela (Cachoeira)",2
"L10006771","Union County Heritage Trail",4
"L10006835","Varkala Beach",8
"L1000690","Arcadia Lakeshore/Chamberlain Rd.",80
"L10007037","Pyramid Lake",3
"L1000716","Carson NF -- Williams Lake",41
"L1000726","UNM--Main Campus (including Duck Pond)",1579
"L10007310","East Fork SP--Prairie Trail",58
"L10007317","Markham--Rouge Valley Park",13
"L10007999","Parc des Compagnons-de-St-Laurent",1
"L10008047","Montrose Boardwalk",1
"L10008108","広島市--京橋川--京橋と稲荷大橋の間・橋本町公園・橋本町厳島神社 (Hiroshima--Kyobashi River--Kyobashi Bridge to Inari-Ohashi Bridge / Hashimotocho Park / Hashimotocho Itsukushima Shrine)",3
"L10008118","広島市--京橋川--平野橋と御幸橋の間・平野公園 (Hiroshima--Kyobashi River--Hirano Bridge to Miyuki Bridge / Hirano Park)",1
"L10008380","Parque Santiago Durieux",2
"L10008406","Міжводне--північ (Mizhvodne--N)",1
"L10008413","La Yunta--Laguna de Méndez",5
"L1000849","Skull Lake WMA",11
"L10008608","Cabayaoasan Ponds, Bugallon",2
"L10008763","Whiteheads Creek at Delatite Rd, Seymour",1
"L10008806","Formosa--Paseo Ferroviario",6
"L10009422","Monks Wall NR",1
"L10009465","HaGuy Garden גן הגיא",19
"L10009586","火炉山森林公园 (Huolushan Forest Park)",3
"L10009617","Sheraton Gardens (Kampala)",13
"L1000964","Joshua Tree NP--Cholla Cactus Garden",93
"L10009691","Kuusamo--Pieni Karhunkierros trail",1
"L10009737","Iguatu--Rio Jaguaribe/Sítio Itans",3
"L10010039","Hanak",1
"L10010076","Strunga",2
"L10010133","Erfurt--Luisenpark",1
"L1001028","Melba Doyle Park",33
"L10010535","Levenwick",16
"L10010789","Rte. 111 Scenic Overlook",5
"L1001127","Wilson Cadman Wildlife Education Area (west)",42
"L1001138","Ouistreham--Canal de Caen a la Mer (Ouistreham Channel)",2
"L1001142","MacCormacks Beach PP",652
"L1001162","Sambro Creek",4
"L10011625","Brisbane River at Fulham Rd",1
"L10012013","Hillsborough Castle and Gardens",1
"L10012039","広島市--京橋川--上柳橋と京橋の間 (Hiroshima--Kyobashi River--Kamiyanagi Bridge to Kyobashi Bridge)",4
"L10012345","Kings Rd/Haultain St park",1
"L10012491","Small marsh - SP181 just south of Vila Santa Isabela",2
"L1001257","Parque Nacional de Boa Nova--wet forest",58
"L10012577","景东--北田地 (Jingdong--northern rice paddies)",1
"L1001259","Horicon Marsh SWA--Northern Rd.",178
"L10012617","Parque de La Amistad",6
"L1001271","Monteverde--Cerro Plano",8
"L1001276","Pomona Lake",82
"L10013795","Plaza Sucre",3
"L1001402","Sequoia NP--Hospital Rock",46
"L10014044","San Sebastián de los Reyes--Arroyo de Viñuelas",82
"L10014125","Yukon--CWS Roadside Survey Wetland No. 633",1
"L10014127","Yukon--CWS Roadside Survey Wetland No. 651",1
"L10014133","Yukon--CWS Roadside Survey Wetland No. 656",1
"L10014136","Yukon--CWS Roadside Survey Wetland No. 660",1
"L10014138","Yukon--CWS Roadside Survey Wetland No. 663",1
"L10014141","Yukon--CWS Roadside Survey Wetland No. 665",2
"L10014143","Yukon--CWS Roadside Survey Wetland No. 672",1
"L10014147","Yukon--CWS Roadside Survey Wetland No. 667",1
"L10014150","Yukon--CWS Roadside Survey Wetland No. 662",1
"L10014152","Yukon--CWS Roadside Survey Wetland No. 632",1
"L10014747","Yukon--CWS Roadside Survey Wetland No. 644",3
"L10014778","Espace Rambouillet",3
"L1001590","Block Island NWR--Lighthouse",7
"L10015952","Thung Thalat Park (Somdet Phra Srinagarindra 84 Pansa Park)",2
"L10016259","Barcelona--Plaça Biscaia",11
"L10016338","Jambrina--Arroyo y piscifactoría",2
"L10016436","Erfurt--Nordpark",1
"L10016514","Colinne de Babadag--migration hotspot",1
"L10016529","Magarnala",1
"L10016717","Murda Khadi",15
"L10017346","Rio Sousa - Trilhos dos Moinhos de Jancido",22
"L10017717","日光市--中禅寺湖--菖蒲ケ浜キャンプ場 (Nikko--Lake Chuzenji--Shobugahama CG)",1
"L10017769","Kolaramma lake",1
"L10017839","Zuazua Horse Racing Park",53
"L10017950","Lehigh Carbon Community College Wetland and Environmental Park",3
"L10018005","Guararema--Graal",4
"L10018173","Ajban Palace desert",9
"L10019347","Mt Seaview Campground",2
"L10019435","Brockham Limeworks SWT NR",1
"L10019489","Hastings River Crossing at Mt Seaview Resort.",1
"L10020182","Arxipélag de Cabrera PN--Es Celler",2
"L10020304","Zamrud National Park",1
"L1002051","Lake Wendouree",206
"L1002068","Little Pine Island Wetland Restoration",18
"L1002074","Lake Albacutya Park",17
"L10021062","Estrada dos Caramirangas",10
"L10021134","Riverside Park, Macclesfield LNR",35
"L10021141","Kerridge Ridge",7
"L10021343","Veleka River Area",11
"L10021404","Munson Slough",7
"L10021934","Amsterdamse Waterleidingduinen--Van Limburg Stirumvallei",2
"L10022070","Foam Factory pond",20
"L10022293","Padmavati Nagar wetland, Virar",1
"L1002252","North Park--New Wetlands",50
"L1002254","Franco Farm Recreation Area",7
"L10023078","Playa La Boca",8
"L1002314","Hoosier National Forest--Paw Paw Marsh",4
"L1002317","Mission San Jose area, San Antonio",64
"L1002365","Captain Forster Hammock Preserve",346
"L10023794","Plage municipale, Lac St-Pierre",2
"L10023871","PN du Mt-Tremblant--Lac du Caribou",1
"L1002391","Horseshoe Bend NA",3
"L1002396","Boesl Outdoor Educ Area",3
"L1002398","Milldam Hollow Access",3
"L10024087","Lake Moondarra--Barramundi Way",4
"L10024268","Owen Lake",1
"L10024784","Aguilar de Campóo--Castillo de Aguilar",1
"L1002505","Elephant Mountain",1
"L10025128","Drongen - Beekstraatkouter",3
"L10025242","Storm King Access",3
"L10025263","CMC Vellore, Chittoor campus",5
"L1002540","Cherry Point--Garnett Rd.",247
"L10025565","Cabane et Lac des Audannes",1
"L10025986","Whitehorse Lakes",5
"L1002650","Lewisville Lake--Copperas Branch Pk",1
"L1002658","Koeberg Private Nature Reserve",4
"L1002681","Grindstone City (town)",198
"L10026847","Tioga Pass (MON Co.)",4
"L10026860","Elijio Panti NP",42
"L10027154","Isle of Barra--Coalas Bhatarsaigh",1
"L1002718","Kings Park (Perth)",566
"L10027237","Mount Sentinel--Evans Ave Trail",57
"L10027327","Marais de Cogneau",2
"L10027521","Ditch Bank Road",19
"L1002760","Margaret Buschman Park",213
